,sim_rt_mean,sim_rt_std
6FD78Z13,439.1385,239.32402786370292
5HJF8AGA,444.266,238.407741840916
TDCECT0D,355.6355,167.55242328006932
G2P3W364,518.995,305.51703275537983
9Z9HRUM9,442.3175,247.12361832717966
4YVTN782,365.555,178.8994144071959
WA8516BB,432.002,226.23284608191437
7XL78LUT,467.174,268.47229728820366
6ETG2FLM,445.5975,245.23152069650743
DBVY4B8K,441.3815,240.311865820598
JZP468AD,478.1255,270.08999435794755
029PWCFY,369.3875,173.40165919464476
WH7LABN8,389.117,198.33247135957794
BR17XG,385.486,191.69290777033126
TNGA8MPC,475.5945,271.84069185945157
32M7D88U,407.2385,214.57874926834853
W8Z3BZAC,421.8315,231.45387997834152
324JE1UG,444.811,239.4345729763523
JBA67JP7,457.014,252.62505519693931
CX9VNMT6,448.8115,251.2820572661366
35ZTAGD8,414.3415,215.06676110830517
PETWZ0JC,371.3435,178.29902068754913
XL4DGB3P,526.2005,313.10336337674323
4LPXB23R,426.0885,221.18347753192722
GGDFBWCL,497.6425,281.8934544354955
MPD4KFF5,457.7245,251.6735015360928
D0TZD25R,408.776,211.5325904971175
FVP5BP99,395.1975,198.3005800641463
ZM3MAF8B,428.8125,223.92259378578544
3ENJ6K37,488.0,275.4104072946829
GTA6ENJ9,354.8445,164.62211740990412
TE7EH6CE,503.5742871435718,301.1766969105371
RE3H89UH,457.9125,241.80316422425994
ZCG5V8NV,349.655,171.58977971094498
6W30KJMZ,465.9045,261.15047034962794
1R4G3839,450.33,246.55061691943033
F9V1PJH4,392.0955,196.0629917350902
TCT40GNY,413.0585,213.45723710801394
ZRR4D9LW,382.688,187.85946940764808
ZDC9G098,501.5015,291.5783547628889
1ERVN8M1,434.9865,231.52365952578174
NX9NHTTU,507.4325,284.64785374928096
052HU3CU,369.5855,173.74469862387153
CNCRDPTT,478.566,258.5452271097469
DPCG,401.99,197.59710576854118
GV6LZX0T,417.148,216.4736901456217
KV1CFR99,354.861,166.56932295195998
DR13TAXK,426.4995,214.63554041060786
F3RDG1N2,380.1505,182.73928333170812
XUKXXT12,360.4025,178.96540671915082
1V00,413.4385,218.6908344176297
4YF8CTPA,432.785,237.20407598064355
4H9VPPWC,470.192,258.65463894375364
KU1J9JFE,350.698,160.70988342138344
LG5EUWL6,413.062,207.42923516177729
UJWZJLT4,412.979,205.05960909121114
UGNK7ZYA,323.903,142.47914845644058
40AA6KX2,457.278,251.88540021887275
G8990TE7,358.4645,171.7600288003491
TF98DX8N,409.3825,209.59010043141214
8P2DZ5TR,516.4725,294.6141391536473
