,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
0A6WVRZY,288.55,258.6129954977973,442.5499999999999,310.76666666666665,286.34915559904795,476.3833333333333,219.78333333333333,175.14950144476884,305.05
0A9K5L4R,284.68333333333334,267.82759880349386,395.6166666666667,298.81666666666666,284.4631556039604,413.25,220.53333333333327,193.14628754917487,295.5666666666667
0AHJHA5D,289.09999999999997,260.3197230518839,420.15000000000003,311.5833333333333,288.4131556039603,450.69999999999993,216.4,167.37189158282618,302.7166666666667
0APJMRD1,292.8666666666666,248.60772914852535,461.5666666666666,324.15,290.0570545506687,493.98333333333335,216.2,145.42898166157954,313.1833333333334
0AYJMFMW,320.08333333333337,181.61543748422773,977.4833333333333,408.31666666666666,293.84154792769664,1185.2166666666667,220.0,51.245739168999606,401.8666666666667
0AZFZ65C,291.51666666666665,254.99537720589987,460.4666666666666,318.7,289.11582226571466,501.6333333333333,215.70000000000002,158.84661517134916,310.00000000000006
0B0HVEYX,303.31666666666666,219.2307010288279,608.3833333333332,357.51666666666665,293.20987455476063,664.8333333333333,216.89999999999998,97.84628919533435,344.0333333333333
0B7UGM1D,288.70000000000005,256.7313062546775,452.2166666666667,311.65,286.2465051499218,475.94999999999993,219.15000000000003,173.53817497095488,307.7
0BEHBEJ3,331.1166666666667,167.3366379182885,1170.5166666666667,436.08333333333337,294.00790258668354,1471.933333333333,221.3166666666667,34.390926300675005,429.6333333333333
0BG53R96,297.7833333333333,232.20546646327043,514.3833333333333,340.75,292.13169684012496,542.1500000000001,216.3,117.1938597311789,327.06666666666666
0BXXNBH4,281.21666666666664,270.32678495335654,371.23333333333346,290.7333333333333,281.52982227062705,382.29999999999995,228.4,212.62753586435292,289.55000000000007
0C471G23,280.1,265.88733384165675,359.8166666666666,291.4,280.4535272753343,368.34999999999997,239.88333333333335,218.98184149545818,289.3833333333333
0C765WK4,285.3666666666666,267.3324740171978,400.3833333333334,300.2833333333333,285.21315560396033,419.1333333333333,218.41666666666663,190.1906212515481,296.2166666666667
0CBFTKR7,283.5833333333333,265.246561358359,381.9166666666667,298.6166666666666,283.9131556039604,401.3333333333333,229.46666666666664,199.62037330540994,293.7166666666667
0CBPKF6W,286.94999999999993,265.4607943617339,409.3333333333333,304.65,286.8464889372937,432.13333333333327,216.81666666666666,182.11666376062576,298.95000000000005
0CCEN5K2,312.69999999999993,197.905823187338,815.8333333333333,386.29999999999995,293.68970130442125,961.4499999999999,218.60000000000002,69.86801600267773,376.46666666666664
0CCVJ39V,302.16666666666663,220.55516075792136,577.6999999999999,354.3833333333333,293.19757956438036,622.5,216.8,98.87819077059727,339.3333333333333
