,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded,gen-standard_SSRT-vanilla,gen-standard_SSRT-w_guesses,gen-standard_SSRT-w_graded
0DUXE0ZA,290.0333333333333,266.04795175025185,429.18333333333334,199.6833333333333,178.0336479966261,603.2333333333333,267.1833333333333,244.41150398497854,
0DVK13LU,267.5666666666666,261.74486361595996,192.93333333333325,224.06666666666663,218.8292293317262,155.36666666666662,262.15,256.47365932013815,180.0333333333333
0DYF4WPG,290.9,266.82377570217784,416.49999999999994,200.73333333333332,177.4877895686419,605.1166666666667,268.16666666666663,245.30772087759155,
0E1RBR9J,270.5,261.64486361595993,151.26666666666662,214.31666666666666,206.73199514594953,144.44999999999996,261.84999999999997,253.39032598680475,123.56666666666665
0E4CT74P,267.8666666666666,262.3115302826267,183.81666666666663,226.95,221.99589599839288,149.71666666666667,262.56666666666666,257.1903259868048,171.0333333333333
0E9UFT0K,269.8833333333333,262.0448636159599,177.0333333333333,220.13333333333333,213.38590773652302,168.63333333333335,262.4,254.86868647333876,144.51666666666665
0EV57VEX,286.98333333333335,265.20725604553246,365.9,201.2,182.07859853809205,493.79999999999995,266.04999999999995,245.40959666950934,
0EWGP0U5,269.0166666666666,261.79486361595997,192.58333333333331,221.21666666666664,214.94354961630054,172.16666666666663,262.2166666666667,255.25201980667202,163.7333333333333
0EXY6KFW,274.43333333333334,262.13972723191995,200.11666666666667,208.66666666666663,198.41782334878036,216.31666666666666,262.3833333333333,250.7487950861412,115.55000000000001
0FBX6KWX,293.4333333333333,267.4062825944375,493.5,199.33333333333334,174.30185948080526,725.1666666666667,268.9333333333334,244.1573928773878,
0FCEX8C6,268.3833333333334,263.0615302826266,201.23333333333335,233.24999999999997,228.60883337585554,182.7833333333333,263.16666666666663,258.06868647333874,178.93333333333334
0FM9MUTU,279.83333333333337,263.9462631622324,266.28333333333336,207.25,192.3942104256794,342.21666666666664,264.73333333333335,249.60577256516615,
0FUC15ZB,277.4,262.8773705082196,190.8166666666667,204.91666666666669,192.37599309827002,240.33333333333337,262.99999999999994,249.26944519474927,
0FV544H9,270.99999999999994,261.6063938985866,173.08333333333331,212.36666666666665,204.2325043748349,167.98333333333332,262.01666666666665,252.99704695987265,134.81666666666666
0FZ26GB1,270.1166666666666,262.4345908478799,208.38333333333335,223.23333333333335,216.62145913336929,203.83333333333334,262.76666666666665,255.34207411307327,168.1833333333333
0G2N59GL,281.0833333333333,264.7284810127449,319.7500000000001,209.20000000000002,193.13574000892123,448.00000000000017,265.5666666666667,249.94686297442317,
0G42TBW1,282.49999999999994,264.0183552546862,290.34999999999997,203.13333333333333,187.19297351762904,372.69999999999993,264.6166666666667,247.13047746156485,
0GPKYMDC,300.26666666666665,269.8722648517563,548.1333333333333,199.46666666666667,168.4776440923043,863.7333333333333,272.26666666666665,243.23381569955944,
0GUTM6AM,293.26666666666665,268.0202872219898,512.6333333333333,199.93333333333334,173.6040194953968,757.1666666666666,269.5666666666667,245.53601557092057,
0GVW93X6,277.03333333333336,262.4230605652533,175.23333333333335,202.93333333333334,190.98214363335472,210.51666666666665,262.2833333333333,248.56048890600843,72.3
0GZ334XA,275.09999999999997,262.3012575145466,159.35000000000002,206.08333333333331,195.36449952078448,175.98333333333335,262.1666666666667,250.08737294667745,100.83333333333334
0GZN1747,271.23333333333335,264.44486361595995,248.2166666666666,253.01666666666662,246.6958959983929,244.7833333333333,262.5333333333334,256.4236593201381,232.09999999999997
0H2AWWPU,268.28333333333336,263.94486361596,214.58333333333334,243.04999999999995,239.2588333758555,204.8333333333333,263.66666666666663,259.5353531400054,193.21666666666667
0HJGCR32,278.01666666666665,263.981680451186,302.5833333333333,214.41666666666669,201.92359608637432,365.1166666666666,264.45,251.10299388868603,
0HXXANFJ,308.6666666666667,274.54319082063085,755.3999999999999,198.5666666666667,156.09274895311708,1323.5833333333333,277.95,245.0631123744883,
0J1M2ETU,272.1,261.74486361596,137.48333333333332,210.04999999999998,201.31159919007888,143.50000000000003,261.78333333333336,251.93535314000542,97.3
0J9U5XRJ,283.94999999999993,264.67058124203226,330.19999999999993,203.4833333333333,186.07109124164197,455.6999999999998,265.54999999999995,247.22566380396614,
0JAG7BGC,276.03333333333336,262.5794544638399,160.33333333333337,207.16666666666669,195.77088274687046,193.78333333333336,262.75,250.0212496408179,120.63333333333335
0JGVD4F3,310.7833333333333,275.7512326230694,816.7833333333333,198.2833333333333,152.8172623516191,1451.7166666666665,279.41666666666663,245.5899306219524,
0JRU5DWA,270.6,261.61153028262663,140.51666666666665,210.88333333333333,203.1215874519487,105.4,261.3833333333333,252.8736593201381,118.89999999999999
0JWEE23L,289.2166666666667,265.73336903920546,410.76666666666665,199.9,179.05902563064433,571.6166666666668,266.8,244.51975772371156,
0JXBZBV9,288.4833333333334,265.79364180728555,378.1833333333333,201.53333333333333,180.94907025125073,503.9000000000001,266.9166666666667,245.43576298572398,
0K37T6VD,275.0499999999999,263.7576514131332,225.00000000000003,224.35000000000005,214.7581917632314,266.33333333333337,263.58333333333326,252.94933844694827,173.03333333333333
0KHYZ082,282.55,263.8286280227662,332.8666666666667,201.55000000000004,185.74009742090848,400.0499999999999,264.23333333333335,246.59807721328934,
0KTEM27A,301.06666666666666,270.782101568068,620.9166666666666,199.01666666666668,165.73540324762854,989.3333333333333,273.23333333333335,244.2565380138793,
0KYKANZ6,290.3666666666667,267.25390959707016,434.13333333333327,202.33333333333331,178.4404014069024,681.9999999999999,268.7833333333333,246.6771156019798,
0L1GB53L,274.79999999999995,262.07819694929333,182.93333333333334,206.33333333333334,195.763584830691,193.35000000000002,262.2,250.2371012662739,98.76666666666665
0L7K5UMC,276.3,263.86404531171985,263.3166666666666,221.03333333333336,210.5272597947804,313.15,263.9833333333333,252.1961137264174,185.51666666666665
0L7XB3AW,281.2833333333333,263.5837644068062,295.96666666666664,202.25,187.24193457411548,357.03333333333336,263.9,247.22966242035415,
0LEM88KP,277.2,262.57945446383985,215.83333333333331,204.23333333333332,192.1933864837567,249.1166666666667,262.6166666666667,248.85054321240966,103.73333333333333
0LFT420N,277.84999999999997,263.72625502539887,289.6333333333334,210.61666666666667,197.28489831967144,368.9000000000001,264.3,250.83446660454808,
0LKZCJ15,287.5666666666666,264.88448452202624,393.23333333333335,199.63333333333333,180.77635343533314,514.2333333333333,265.70000000000005,244.2390027323039,210.36666666666667
0LN1KD13,278.98333333333335,263.24708960330605,242.36666666666667,204.08333333333334,190.2094976249946,301.73333333333335,263.6166666666667,248.78457909575081,
