,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
003RTV85,254.08333333333326,224.48333333333326,299.91666666666663,277.96666666666664,236.5794317440611,206.1526926896211,283.6792877037838,262.69790764095296,326.01666666666665,284.56666666666666,387.65000000000003,364.6166666666666,326.01666666666665,284.56666666666666,387.65000000000003,364.6166666666666,289.0,211.0,339.0,295.0,258.10200000000003,209.98200000000003,347.982,277.688
007W6H7B,263.6739130434783,233.5,291.4782608695652,286.04347826086956,251.37988914380364,219.84389089004168,281.40536453846215,275.32759406958553,326.6304347826087,287.49999999999994,370.8478260869565,350.2608695652174,326.6304347826087,287.49999999999994,370.8478260869565,350.2608695652174,272.0,213.0,317.0,288.0,258.106,202.58,336.926,275.966
00CY2MDM,320.3166666666667,198.78333333333336,346.21666666666664,293.2166666666667,263.66739996769365,107.08165889708724,289.2151813563974,227.27129857077514,698.75,294.0166666666667,706.7,530.6166666666667,698.75,294.0166666666667,706.7,530.6166666666667,265.0,207.0,310.0,279.0,260.124,196.1,325.33,280.578
00HEV6HB,308.7666666666667,206.3166666666667,332.2666666666667,297.25,256.39798859012285,135.57975888895226,283.52297873111445,242.23906122270725,651.05,288.6166666666667,654.2500000000001,487.01666666666665,651.05,288.6166666666667,654.2500000000001,487.01666666666665,275.0,213.0,326.0,289.0,262.59000000000003,209.042,336.99800000000005,282.49
00J52GPG,323.95000000000005,191.3166666666667,324.51666666666665,295.5333333333333,282.82672266000935,97.0675825679374,286.2620555681916,248.11829228947107,860.3666666666667,307.24999999999994,807.6833333333334,677.0833333333334,860.3666666666667,307.24999999999994,807.6833333333334,677.0833333333334,260.0,194.0,288.0,278.0,258.59000000000003,185.396,303.466,283.118
00LJVZK2,279.0188679245283,201.50943396226415,301.4150943396226,282.811320754717,258.25515528523346,152.57651543000316,282.17782575396495,260.8504897459492,567.4339622641509,302.73584905660374,585.5283018867924,511.67924528301893,567.4339622641509,302.73584905660374,585.5283018867924,511.67924528301893,257.0,200.0,288.0,273.0,265.774,191.768,311.582,283.868
00MU,267.24999999999994,208.73333333333335,323.8166666666667,287.05,227.87703018422107,164.70172135672752,288.08094266760077,250.63318319365536,392.86666666666673,294.65,472.0,417.08333333333337,392.86666666666673,294.65,472.0,417.08333333333337,278.0,215.0,336.0,290.0,257.524,207.592,347.5560000000001,279.64
00NPMHND,252.90625,231.84375,298.375,277.9375,244.3864218212198,221.04967456529255,290.87636731774205,269.57107022608074,312.15625,284.875,359.28125,338.09375,312.15625,284.875,359.28125,338.09375,272.0,206.0,324.0,283.0,253.408,206.05599999999998,338.094,281.026
