ID,SSRT_mean,SSRT_integration,SSRT_omission,SSRT_replacement,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc
0,221.77657935285055,169.0,171.0,171.0,275.0,0.3811538461538462,1000.0,496.77657935285055,470.32559704002693,1,0.0015384615384615385,,
1,316.6484375,214.0,215.0,215.0,275.0,0.2367948717948718,1000.0,591.6484375,522.0682187330807,10,0.015384615384615385,,
2,340.59235668789813,251.0,254.0,254.0,275.0,0.2866666666666667,1000.0,615.5923566878981,546.6842576028622,22,0.033846153846153845,,
3,272.47368421052636,206.0,206.0,206.0,275.0,0.32,1000.0,547.4736842105264,502.70072115384613,4,0.006153846153846154,,
4,122.82307692307694,124.0,124.0,124.0,275.0,0.5403846153846154,1000.0,397.82307692307694,413.564650059312,0,0.0,,
5,62.553846153846166,74.0,74.0,74.0,275.0,0.6148717948717949,1000.0,337.55384615384617,365.25,0,0.0,,
6,194.95076923076925,162.0,162.0,162.0,275.0,0.41346153846153844,1000.0,469.95076923076925,460.1060465116279,0,0.0,,
7,241.9675925925926,189.0,189.0,189.0,275.0,0.3635897435897436,1000.0,516.9675925925926,481.42665726375174,2,0.003076923076923077,,
8,137.31846153846152,125.0,125.0,125.0,275.0,0.5,1000.0,412.3184615384615,415.84076923076924,0,0.0,,
9,209.29076923076923,172.0,172.0,172.0,275.0,0.4076923076923077,1000.0,484.29076923076923,467.938679245283,0,0.0,,
10,135.86461538461538,132.0,132.0,132.0,275.0,0.5187179487179487,1000.0,410.8646153846154,414.33094414236285,0,0.0,,
11,94.22769230769228,99.0,99.0,99.0,275.0,0.5846153846153846,1000.0,369.2276923076923,385.84583333333336,0,0.0,,
12,104.25999999999999,111.0,111.0,111.0,275.0,0.5664102564102564,1000.0,379.26,392.2849705749208,0,0.0,,
13,107.92000000000002,106.0,106.0,106.0,275.0,0.5397435897435897,1000.0,382.92,393.62945368171023,0,0.0,,
