ID,SSRT_mean,SSRT_integration,SSRT_omission,SSRT_replacement,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc
0,232.05392912172573,148.0,148.0,148.0,275.0,0.2676923076923077,1000.0,507.05392912172573,501.4942528735632,1,0.0015384615384615385,,
1,317.9230769230769,188.0,188.0,188.0,275.0,0.17192307692307693,1000.0,592.9230769230769,539.8389261744967,13,0.02,,
2,337.7203791469194,205.0,207.0,207.0,275.0,0.20448717948717948,1000.0,612.7203791469194,567.1485893416927,17,0.026153846153846153,,
3,268.5935085007728,172.0,172.0,172.0,275.0,0.22653846153846155,1000.0,543.5935085007728,520.2891907187324,3,0.004615384615384616,,
4,125.27230769230772,93.0,93.0,93.0,275.0,0.37948717948717947,1000.0,400.2723076923077,448.93445945945945,0,0.0,,
5,71.15846153846155,55.0,55.0,55.0,275.0,0.43615384615384617,1000.0,346.15846153846155,401.0196942974721,0,0.0,,
6,203.95223420647147,128.0,128.0,128.0,275.0,0.2866666666666667,1000.0,478.9522342064715,486.43067978533094,1,0.0015384615384615385,,
7,234.5069337442219,153.0,154.0,154.0,275.0,0.2578205128205128,1000.0,509.5069337442219,504.871705619095,1,0.0015384615384615385,,
8,134.50307692307695,98.0,98.0,98.0,275.0,0.35205128205128206,1000.0,409.50307692307695,445.4508375819374,0,0.0,,
9,210.88307692307694,143.0,143.0,143.0,275.0,0.2885897435897436,1000.0,485.88307692307694,495.250999555753,0,0.0,,
10,129.98000000000002,92.0,92.0,92.0,275.0,0.3617948717948718,1000.0,404.98,451.5846917080085,0,0.0,,
11,92.74923076923079,67.0,67.0,67.0,275.0,0.41384615384615386,1000.0,367.7492307692308,422.03965303593554,0,0.0,,
12,110.21384615384613,86.0,86.0,86.0,275.0,0.39705128205128204,1000.0,385.21384615384613,428.1950274459154,0,0.0,,
13,104.10461538461539,77.0,77.0,77.0,275.0,0.38384615384615384,1000.0,379.1046153846154,427.95958583834334,0,0.0,,
14,171.45916795069337,113.0,113.0,113.0,275.0,0.3082051282051282,1000.0,446.45916795069337,472.6518302828619,1,0.0015384615384615385,,
15,378.8029556650247,190.0,195.0,195.0,275.0,0.1376923076923077,1000.0,653.8029556650247,573.6992551210428,41,0.06307692307692307,,
16,248.43605546995377,164.0,164.0,164.0,275.0,0.2653846153846154,1000.0,523.4360554699538,524.5613526570048,1,0.0015384615384615385,,
17,101.55384615384617,74.0,74.0,74.0,275.0,0.3801282051282051,1000.0,376.55384615384617,423.7139966273187,0,0.0,,
18,150.18615384615384,109.0,109.0,109.0,275.0,0.3435897435897436,1000.0,425.18615384615384,459.26529850746266,0,0.0,,
19,254.90600924499233,160.0,160.0,160.0,275.0,0.24115384615384616,1000.0,529.9060092449923,509.6246677299309,1,0.0015384615384615385,,
20,149.5846153846154,109.0,109.0,109.0,275.0,0.3473076923076923,1000.0,424.5846153846154,464.2768549280177,0,0.0,,
21,232.5323076923077,153.0,153.0,153.0,275.0,0.2701282051282051,1000.0,507.5323076923077,508.4072140484101,0,0.0,,
22,130.48615384615385,97.0,97.0,97.0,275.0,0.3441025641025641,1000.0,405.48615384615385,439.14269746646795,0,0.0,,
23,167.64153846153846,118.0,118.0,118.0,275.0,0.32846153846153847,1000.0,442.64153846153846,469.57611241217796,0,0.0,,
24,206.68412942989215,142.0,142.0,142.0,275.0,0.2857692307692308,1000.0,481.68412942989215,489.766711529834,1,0.0015384615384615385,,
25,114.85384615384618,91.0,91.0,91.0,275.0,0.3971794871794872,1000.0,389.8538461538462,439.66914138153646,0,0.0,,
26,125.1553846153846,96.0,96.0,96.0,275.0,0.37333333333333335,1000.0,400.1553846153846,448.4361263736264,0,0.0,,
27,200.97076923076924,133.0,133.0,133.0,275.0,0.28217948717948715,1000.0,475.97076923076924,494.17810086324397,0,0.0,,
28,137.0,95.0,95.0,95.0,275.0,0.3532051282051282,1000.0,412.0,445.6032667876588,0,0.0,,
29,130.92461538461538,89.0,89.0,89.0,275.0,0.3441025641025641,1000.0,405.9246153846154,439.9478390461997,0,0.0,,
30,114.75076923076921,85.0,85.0,85.0,275.0,0.38961538461538464,1000.0,389.7507692307692,440.468575189207,0,0.0,,
31,195.7753846153846,133.0,133.0,133.0,275.0,0.2953846153846154,1000.0,470.7753846153846,484.9778645833333,0,0.0,,
32,266.56086286594757,165.0,165.0,165.0,275.0,0.24064102564102563,1000.0,541.5608628659476,528.6568993074054,1,0.0015384615384615385,,
33,331.4483306836248,190.0,196.0,196.0,275.0,0.1717948717948718,1000.0,606.4483306836248,551.5059701492537,21,0.03230769230769231,,
34,313.1791277258567,192.0,193.0,193.0,275.0,0.2067948717948718,1000.0,588.1791277258567,537.9714817110973,8,0.012307692307692308,,
35,201.6292307692308,137.0,137.0,137.0,275.0,0.2985897435897436,1000.0,476.6292307692308,491.49506225848006,0,0.0,,
36,218.38153846153847,143.0,143.0,143.0,275.0,0.27602564102564103,1000.0,493.38153846153847,504.6196005573618,0,0.0,,
37,157.39076923076925,110.0,110.0,110.0,275.0,0.33,1000.0,432.39076923076925,460.4693084693085,0,0.0,,
38,246.24653312788905,160.0,160.0,160.0,275.0,0.24166666666666667,1000.0,521.246533127889,506.29071618037136,1,0.0015384615384615385,,
39,372.80130293159607,206.0,209.0,209.0,275.0,0.1476923076923077,1000.0,647.8013029315961,553.7022569444445,36,0.055384615384615386,,
40,242.5630769230769,160.0,160.0,160.0,275.0,0.26076923076923075,1000.0,517.5630769230769,509.22173058013766,0,0.0,,
