,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
0NXVE8CT,268.4666666666667,248.53333333333333,314.4333333333333,303.78333333333336,256.0214788357993,233.34281383610417,302.3907369664864,292.1929885177326,343.3,306.96666666666664,399.5833333333333,384.75,343.3,306.96666666666664,399.5833333333333,384.75,298.0,230.0,365.0,304.0,289.036,223.412,378.728,303.986
0P0GTDY0,256.59999999999997,192.7,295.41666666666663,252.39999999999998,208.596905848562,139.71760714726858,253.08200292140546,206.60770662741214,382.93333333333334,260.0666666666667,444.46666666666664,354.1166666666667,382.93333333333334,260.0666666666667,444.46666666666664,354.1166666666667,261.0,200.0,314.0,260.0,221.492,190.16000000000003,302.57599999999996,252.3
0P2ZCYPM,249.20000000000002,206.93333333333337,311.83333333333337,274.6,216.1891227698905,172.27724698408966,278.826206562302,240.82213779401684,327.7333333333333,267.88333333333327,404.95000000000005,353.2166666666667,327.7333333333333,267.88333333333327,404.95000000000005,353.2166666666667,283.0,213.0,365.0,278.0,245.592,210.09799999999998,336.54,274.496
0P3ERKVG,317.5333333333333,222.06666666666666,384.73333333333323,313.2833333333333,239.0690632476771,136.26054552923662,309.15144732858295,235.9467497631308,525.2499999999999,320.01666666666665,638.6499999999999,482.7499999999999,525.2499999999999,320.01666666666665,638.6499999999999,482.7499999999999,303.0,230.0,371.0,307.0,283.52,224.3,381.816,306.144
0R696YJR,302.1666666666667,230.68333333333337,352.71666666666664,320.3333333333333,263.3668810368622,187.6588900547793,319.65980768735864,285.4503382923301,473.9833333333333,333.18333333333334,558.7666666666668,487.7833333333333,473.9833333333333,333.18333333333334,558.7666666666668,487.7833333333333,306.0,229.0,363.0,315.0,300.486,225.828,391.666,315.672
0U0ZAG3B,301.93333333333334,250.85,356.6,331.5666666666666,278.8734944907948,231.79178079199693,334.9144427538426,311.69091706482203,379.6166666666667,333.3,454.4333333333333,431.41666666666674,379.6166666666667,333.3,454.4333333333333,431.41666666666674,330.0,248.0,404.0,331.0,321.958,251.27599999999998,438.408,335.602
0U23M45G,260.46666666666664,198.39999999999998,308.4833333333333,276.35,221.8762812972267,150.90226759133088,273.3827629930065,238.30110014418165,395.75,280.5166666666666,471.1166666666666,403.9166666666666,395.75,280.5166666666666,471.1166666666666,403.9166666666666,269.0,202.0,317.0,276.0,246.692,197.746,327.968,275.152
0U317B9P,232.4814814814815,207.29629629629625,267.38888888888886,254.87037037037038,216.16745301695434,190.10283618038773,251.2539259570406,239.001571031064,283.7407407407407,249.4074074074074,330.0185185185185,306.9074074074074,283.7407407407407,249.4074074074074,330.0185185185185,306.9074074074074,265.0,198.0,318.0,260.0,216.242,188.47000000000003,293.12,245.372
0UA196B6,243.24999999999997,193.9333333333333,282.2333333333333,277.68333333333334,235.04582914387532,178.4005633286408,277.54357614213046,272.14905359928343,369.85,287.00000000000006,425.1833333333333,413.55,369.85,287.00000000000006,425.1833333333333,413.55,256.0,193.0,291.0,277.0,264.178,190.412,308.078,278.902
0ULZKXXG,252.84999999999997,215.81666666666672,318.05,277.1666666666667,217.12566352721146,177.920962434806,283.19329975985096,242.53089729386383,335.6333333333333,279.15000000000003,412.48333333333335,363.23333333333335,335.6333333333333,279.15000000000003,412.48333333333335,363.23333333333335,285.0,219.0,365.0,282.0,248.01,210.91000000000003,345.374,267.43600000000004
0VBJ9TP2,269.76666666666665,214.01666666666665,326.21666666666664,284.7666666666667,223.8700697311314,163.83956563718883,282.635128217156,239.53027425285774,386.46666666666664,289.40000000000003,467.26666666666665,395.63333333333327,386.46666666666664,289.40000000000003,467.26666666666665,395.63333333333327,285.0,218.0,348.0,287.0,253.98,206.186,340.228,268.422
0VVG7LYB,277.84999999999997,222.65,337.9166666666667,297.28333333333336,232.23918303367122,176.10124972196868,293.4855048731105,253.11811937897932,375.51666666666665,300.63333333333327,461.55000000000007,400.5333333333333,375.51666666666665,300.63333333333327,461.55000000000007,400.5333333333333,302.0,231.0,371.0,302.0,264.75800000000004,217.47000000000003,373.386,296.022
0X38WL5R,232.13636363636365,204.99999999999997,268.0,251.95454545454547,213.39162836889096,182.2858996494338,247.46515545339665,233.2155969414974,296.5,253.13636363636365,337.6363636363637,309.9545454545454,296.5,253.13636363636365,337.6363636363637,309.9545454545454,257.0,198.0,327.0,260.0,219.29,190.028,303.27,243.90400000000002
0XFVW4LF,221.67796610169495,194.79661016949152,270.96610169491527,261.67796610169495,209.65512326366036,179.7465718814246,260.74570756944735,250.88532908765825,305.7966101694915,262.1694915254237,369.9830508474576,352.30508474576266,305.7966101694915,262.1694915254237,369.9830508474576,352.30508474576266,246.0,193.0,294.0,263.0,232.364,184.364,306.76,258.466
0XTAYD1B,252.13333333333335,212.73333333333335,262.3333333333333,257.73333333333335,239.10062003418207,195.65473590930512,251.94311503463604,246.9359065504852,319.2,267.40000000000003,355.00000000000006,335.0000000000001,319.2,267.40000000000003,355.00000000000006,335.0000000000001,252.0,193.0,294.0,264.0,237.00400000000002,183.68599999999998,297.91,258.158
0XTVAGV2,248.22222222222223,221.33333333333331,279.44444444444446,284.7222222222222,248.95973934811659,215.8421085941292,282.14525665010626,288.034001634081,340.38888888888886,286.88888888888886,378.0,378.83333333333326,340.38888888888886,286.88888888888886,378.0,378.83333333333326,256.0,201.0,284.0,275.0,269.994,187.512,306.69,286.78
0Y712XLV,277.9,230.36666666666667,340.8666666666667,294.08333333333326,220.14371618023867,172.65242115001035,282.5721754267767,237.58986363661901,373.84999999999997,290.43333333333334,455.2,371.9666666666667,373.84999999999997,290.43333333333334,455.2,371.9666666666667,308.0,232.0,407.0,299.0,263.194,239.442,363.66,282.728
0YWBYAGP,242.65,209.18333333333334,285.9,286.51666666666665,238.00433802247423,203.72273065670842,286.08200769763647,284.33140978981237,327.8333333333333,283.4666666666667,384.05,382.09999999999997,327.8333333333333,283.4666666666667,384.05,382.09999999999997,259.0,202.0,299.0,283.0,267.348,188.572,313.902,283.288
10RNF3BK,291.99999999999994,247.13333333333335,367.6833333333333,314.31666666666666,237.67395213512887,190.59689012525646,311.03779625063845,256.2357195679347,381.21666666666675,315.6833333333334,478.45,399.50000000000006,381.21666666666675,315.6833333333334,478.45,399.50000000000006,328.0,244.0,433.0,314.0,280.628,250.226,400.208,293.574
1164KR5T,278.7833333333333,211.48333333333332,331.3333333333333,296.26666666666665,239.7338207273205,161.4041895853402,296.16333717950545,258.48755964941574,462.23333333333335,311.4166666666667,543.7333333333333,466.70000000000005,462.23333333333335,311.4166666666667,543.7333333333333,466.70000000000005,277.0,214.0,330.0,291.0,276.732,210.572,348.458,295.918
11UF2ABG,352.48333333333335,217.26666666666668,383.9,299.49999999999994,255.4266905787068,119.8375361481288,290.7079945844946,211.65204588072967,679.6166666666666,281.93333333333334,695.6166666666666,461.56666666666666,679.6166666666666,281.93333333333334,695.6166666666666,461.56666666666666,297.0,225.0,373.0,297.0,256.948,214.41400000000002,359.48800000000006,279.522
1313F6FM,209.18333333333334,179.71666666666664,244.23333333333335,236.56666666666663,195.6143614722157,164.76127473339807,230.79203410351894,222.89419764883425,266.78333333333336,232.28333333333327,309.23333333333335,296.71666666666664,266.78333333333336,232.28333333333327,309.23333333333335,296.71666666666664,248.0,187.0,300.0,251.0,193.19,171.81400000000005,265.478,226.704
13276WYW,266.21666666666664,198.89999999999998,310.2833333333333,274.0333333333333,220.79948175637386,143.5104853200611,269.5749749284232,228.5108352490396,423.13333333333327,278.21666666666664,489.13333333333327,405.3999999999999,423.13333333333327,278.21666666666664,489.13333333333327,405.3999999999999,263.0,204.0,312.0,274.0,240.892,188.71,313.03,266.66
13LFMTL6,246.86666666666667,213.16666666666666,292.9,277.38333333333327,235.91722434582002,198.9411876176879,284.0818199197842,267.49415376840955,342.35,291.4333333333334,401.0833333333333,381.6166666666667,342.35,291.4333333333334,401.0833333333333,381.6166666666667,268.0,203.0,310.0,279.0,268.11400000000003,199.672,325.3400000000001,289.336
14BPGL15,237.86206896551724,204.29310344827587,282.4655172413793,263.91379310344826,218.51308975936132,181.80142363636264,263.9274916914011,244.5435032953993,312.1206896551724,266.8793103448276,372.50000000000006,342.3620689655172,312.1206896551724,266.8793103448276,372.50000000000006,342.3620689655172,258.0,200.0,316.0,270.0,225.58,192.5,314.9120000000001,263.208
14F94Z7X,254.31666666666663,228.51666666666668,294.7333333333333,276.81666666666666,242.22289399568623,215.5296425490081,283.1382682906335,265.17362182637896,319.24999999999994,286.99999999999994,369.19999999999993,350.35,319.24999999999994,286.99999999999994,369.19999999999993,350.35,279.0,211.0,332.0,289.0,252.68400000000003,205.442,339.978,276.6
173ZYYKX,295.75000000000006,244.0,345.0,301.08333333333337,252.33928885483797,199.76892273908402,302.3003331460672,260.8997182332926,386.1666666666667,309.6666666666667,464.5833333333333,397.58333333333326,386.1666666666667,309.6666666666667,464.5833333333333,397.58333333333326,315.0,240.0,385.0,306.0,277.498,224.77,390.32199999999995,299.70599999999996
17UL1T8L,278.98333333333335,208.43333333333334,344.8833333333333,288.93333333333334,221.26528894031233,144.30665098585663,285.4519239150268,230.32697755709646,425.34999999999997,297.2,523.3666666666667,423.8333333333333,425.34999999999997,297.2,523.3666666666667,423.8333333333333,282.0,212.0,352.0,290.0,251.62400000000002,210.242,352.6380000000001,285.678
19GEFHUC,240.81355932203388,212.7118644067797,258.9491525423728,273.66101694915255,242.91928543002857,212.20286970472333,264.1077242536037,279.5119401001615,307.1016949152542,277.50847457627117,346.1186440677966,351.83050847457633,307.1016949152542,277.50847457627117,346.1186440677966,351.83050847457633,249.0,192.0,284.0,269.0,253.71400000000003,184.34400000000002,296.724,280.36
19YE2JCZ,380.01694915254234,236.05084745762716,393.9152542372881,310.93220338983053,279.66819090400867,142.19691698259416,296.4646416258488,224.2409975999978,713.6440677966102,300.2372881355932,705.186440677966,460.9491525423729,713.6440677966102,300.2372881355932,705.186440677966,460.9491525423729,310.0,242.0,400.0,304.0,273.11400000000003,240.78400000000002,384.68800000000005,301.028
19ZM2GTU,256.2666666666666,210.71666666666664,304.26666666666665,288.8499999999999,230.69197342004844,180.87653960557168,281.5446720472798,264.3483635182559,371.68333333333317,288.41666666666663,436.3166666666666,400.24999999999994,371.68333333333317,288.41666666666663,436.3166666666666,400.24999999999994,274.0,210.0,331.0,288.0,263.32,206.84400000000002,339.80800000000005,280.168
1APPZYY8,256.5454545454545,252.72727272727275,259.25454545454545,262.16363636363633,294.432453512151,305.7866053242682,294.3279715995853,306.92197092166964,299.8181818181818,290.36363636363643,302.7636363636364,350.76363636363646,299.8181818181818,290.36363636363643,302.7636363636364,350.76363636363646,230.0,178.0,241.0,259.0,265.982,178.578,271.63800000000003,291.406
1BN4RDAD,293.45,221.8833333333333,351.43333333333334,299.6333333333334,232.8657561601232,157.6169481566073,293.2102201021911,241.16707584390448,464.43333333333334,300.91666666666663,537.9833333333332,428.56666666666655,464.43333333333334,300.91666666666663,537.9833333333332,428.56666666666655,296.0,229.0,362.0,298.0,253.168,219.608,370.87,288.4840000000001
1CTLWW8V,258.79999999999995,206.5833333333333,306.01666666666665,286.58333333333337,232.13338674462062,173.99935912020914,280.83780324928335,257.7211376465112,397.74999999999994,281.6333333333333,447.93333333333334,398.4,397.74999999999994,281.6333333333333,447.93333333333334,398.4,271.0,212.0,325.0,284.0,252.646,197.778,329.7820000000001,275.892
1CYTVBWT,229.9787234042553,206.46808510638297,269.6808510638298,253.7446808510638,205.59915253182123,183.01274768666428,247.43733812841177,230.90043801147863,276.91489361702133,251.14893617021278,332.8297872340426,297.531914893617,276.91489361702133,251.14893617021278,332.8297872340426,297.531914893617,269.0,203.0,346.0,267.0,225.92,200.134,298.0660000000001,247.304
1E35BEZ6,272.10526315789474,261.7105263157895,301.1842105263158,291.89473684210526,265.85059942083063,252.77046189426676,295.78127245664854,285.2083144418431,329.5263157894737,308.39473684210526,364.078947368421,357.7105263157895,329.5263157894737,308.39473684210526,364.078947368421,357.7105263157895,274.0,218.0,337.0,302.0,281.892,207.22799999999998,353.306,293.1140000000001
1ERVN8M1,261.55,212.31666666666663,317.91666666666663,285.15000000000003,236.01005501386248,182.0199768294473,293.1816003630007,260.17609982112634,365.46666666666664,286.1166666666666,438.09999999999997,393.45,365.46666666666664,286.1166666666666,438.09999999999997,393.45,281.0,214.0,341.0,289.0,265.79200000000003,213.87599999999998,345.216,292.6860000000001
1F5JEP46,271.0333333333333,223.4833333333333,341.46666666666664,299.7833333333333,230.52728821451663,177.8637463839187,301.4867134792155,260.8831571855021,387.78333333333336,308.1499999999999,486.03333333333336,424.78333333333336,387.78333333333336,308.1499999999999,486.03333333333336,424.78333333333336,288.0,226.0,362.0,298.0,272.10400000000004,214.44,365.37,294.982
1GKF0X1J,238.0166666666667,189.50000000000003,280.6333333333334,260.9166666666667,207.77431017568566,153.13562024445346,251.7316415083895,230.5071168850363,349.78333333333336,257.56666666666666,400.1333333333333,352.25,349.78333333333336,257.56666666666666,400.1333333333333,352.25,250.0,194.0,302.0,261.0,220.334,188.512,296.53,252.118
1H63RRB3,278.7166666666667,222.51666666666665,335.0166666666667,302.6666666666667,240.36198065529422,180.95404876494194,300.4059324124861,265.846987385787,388.7833333333333,303.7166666666666,470.4833333333334,420.0833333333333,388.7833333333333,303.7166666666666,470.4833333333334,420.0833333333333,295.0,225.0,355.0,306.0,277.926,214.124,372.19199999999995,293.18
1JAFHY62,327.6166666666666,222.5,387.3166666666666,305.03333333333336,225.6887971896287,117.54209599695473,289.5634567885741,207.01940258940883,510.9666666666667,308.7,625.7833333333332,453.90000000000003,510.9666666666667,308.7,625.7833333333332,453.90000000000003,307.0,233.0,369.0,300.0,265.894,226.142,371.658,288.81
1MZ6AG9P,219.91666666666666,194.75,248.36666666666665,256.6333333333333,222.4653710135814,192.46008626415627,256.4624675961084,264.0274541574157,308.4666666666667,265.9166666666667,351.26666666666665,357.5,308.4666666666667,265.9166666666667,351.26666666666665,357.5,236.0,183.0,261.0,254.0,249.196,175.592,280.82599999999996,269.07
1N0V1BUP,274.06666666666666,205.26666666666662,329.81666666666666,284.95,220.6884326253432,139.7649741143013,278.60602145468283,230.3184057368291,425.49999999999994,289.5166666666666,516.9166666666666,418.7833333333333,425.49999999999994,289.5166666666666,516.9166666666666,418.7833333333333,274.0,212.0,331.0,285.0,247.604,203.59599999999998,334.01199999999994,276.21000000000004
1N22H6JR,270.34999999999997,219.44999999999996,329.55,286.6333333333334,228.19180700644742,176.94484513175814,290.636231848659,247.67897582143567,356.41666666666663,290.59999999999997,443.31666666666666,381.45,356.41666666666663,290.59999999999997,443.31666666666666,381.45,292.0,221.0,367.0,290.0,254.532,212.868,356.886,287.512
1NY2HJJM,271.28333333333336,209.0333333333333,322.0333333333333,297.59999999999997,234.98615557885734,170.50222599962322,290.9859763287604,263.56113435110603,387.1166666666667,297.46666666666664,470.1166666666667,424.18333333333334,387.1166666666667,297.46666666666664,470.1166666666667,424.18333333333334,286.0,213.0,336.0,294.0,260.006,207.47,344.624,289.39799999999997
1NZMD6UK,296.21666666666664,207.95,343.91666666666663,293.7166666666667,241.43530633200962,138.14539256356656,292.72542286479717,238.70174339216058,512.3833333333333,306.1333333333333,582.1499999999999,468.46666666666664,512.3833333333333,306.1333333333333,582.1499999999999,468.46666666666664,281.0,216.0,332.0,286.0,264.77,209.40400000000002,348.14599999999996,285.862
1PX9GGJP,275.1016949152542,205.47457627118644,324.6101694915254,285.7796610169492,232.26245155209233,151.4168859961944,282.2781278790898,240.54711310635588,439.35593220338967,287.55932203389824,508.9152542372882,423.98305084745766,439.35593220338967,287.55932203389824,508.9152542372882,423.98305084745766,273.0,207.0,329.0,284.0,255.548,204.798,332.408,277.276
1PXG26KK,278.81666666666666,199.26666666666665,300.25,304.76666666666665,283.0581497973713,163.56120634112045,309.7695141830453,317.71838825322175,606.2333333333332,325.74999999999994,637.7833333333333,639.5666666666666,606.2333333333332,325.74999999999994,637.7833333333333,639.5666666666666,252.0,198.0,279.0,285.0,289.45,196.986,301.974,310.39799999999997
1R4G3839,226.59999999999997,190.4,270.01666666666665,271.7333333333333,221.8590046777916,182.70874459792626,269.22229962035794,269.2132338240179,318.4166666666667,270.98333333333335,379.3,375.2666666666667,318.4166666666667,270.98333333333335,379.3,375.2666666666667,252.0,192.0,289.0,268.0,246.424,183.96400000000003,297.99,266.868
