,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
003RTV85,261.09999999999997,231.65,304.3333333333333,310.6,260.2171714096889,227.30087078811786,305.74278225255796,310.5184346933973,342.4666666666666,307.7666666666666,397.44999999999993,395.8666666666666,342.4666666666666,307.7666666666666,397.44999999999993,395.8666666666666,276.0,208.0,317.0,301.0,289.928,201.984,341.786,304.736
007W6H7B,208.4782608695652,190.39130434782604,230.4565217391304,240.19565217391303,226.58673563277165,201.79474344545972,248.7823646046445,275.2978490508036,282.89130434782606,254.8260869565217,309.34782608695656,333.0434782608695,282.89130434782606,254.8260869565217,309.34782608695656,333.0434782608695,208.0,159.0,222.0,235.0,223.826,152.964,240.192,246.204
00CY2MDM,308.55,193.84999999999997,325.7333333333333,296.76666666666665,270.57912923645466,111.92444578640439,290.96268247529264,254.707794988943,655.6999999999999,281.41666666666663,652.8666666666667,541.0666666666667,655.6999999999999,281.41666666666663,652.8666666666667,541.0666666666667,261.0,199.0,294.0,281.0,264.78,189.424,314.594,284.822
00HEV6HB,271.83333333333337,191.25,288.48333333333335,286.93333333333334,268.9361140570299,149.73957218375347,282.2540294187785,279.48975491247916,639.5666666666666,301.43333333333334,614.2166666666666,574.65,639.5666666666666,301.43333333333334,614.2166666666666,574.65,246.0,188.0,277.0,271.0,266.698,183.92,296.73,284.92400000000004
00J52GPG,322.46666666666664,177.16666666666669,329.05,278.65000000000003,270.71390923358035,68.67269951960702,271.153660320658,212.62750160090286,775.7,258.05,686.5833333333333,518.6166666666667,775.7,258.05,686.5833333333333,518.6166666666667,243.0,185.0,286.0,263.0,239.45,182.71599999999998,291.7680000000001,259.586
00LJVZK2,347.43396226415103,236.9811320754717,395.98113207547175,303.433962264151,242.15567876434173,143.01570913592823,290.6958448060436,210.83994014193536,387.1132075471698,162.83018867924528,641.0566037735849,241.05660377358495,387.1132075471698,162.83018867924528,641.0566037735849,241.05660377358495,309.0,234.0,406.0,301.0,257.006,231.48,360.25199999999995,287.08799999999997
00MU,279.81666666666666,225.53333333333333,338.23333333333335,306.0333333333333,232.1820801082698,171.05350855468333,291.25936669062156,257.6305246297566,404.65,300.54999999999995,494.6833333333334,422.75,404.65,300.54999999999995,494.6833333333334,422.75,293.0,231.0,359.0,307.0,267.05400000000003,215.758,373.49,294.02
00NPMHND,233.75,222.09375,274.1875,262.03125,216.7176446859618,204.14914940863818,258.16525435181734,245.54005531589218,285.34375,254.46875,326.71875,305.6875,285.34375,254.46875,326.71875,305.6875,267.0,211.0,339.0,268.0,227.468,196.31,300.786,250.502
