 SSD presp
0 0.0 0.49941
1 50.0 0.561566
2 100.0 0.65687
3 150.0 0.723856
4 200.0 0.795379
5 250.0 0.8306389999999999
6 300.0 0.860157
7 350.0 0.884024
8 400.0 0.8951520000000001
9 450.0 0.906854
10 500.0 0.912347
11 550.0 0.919252
12 600.0 0.917789
13 650.0 0.914306
14 700.0 0.894193
15 750.0 0.904812
16 800.0 0.852174
17 850.0 0.831197
18 900.0 0.81735
